,Names,Role,Bio
0,Barb Carra ,President and CEO,"Barb earned her Master's of Science at the University of Calgary and her Doctorate in Geography and Environmental Studies from Wilfrid Laurier University and she previously ran a spatial analytics consultancy. Her favourite thing about working at Cybera is knowing that what she does matters. “Being part of an organizing that is improving how technology is accessed and used, for everyone, makes me proud to come to work!” If she's not at her desk, you will find her on the road, working and meeting with Cybera’s member community."
1,Barton Satchwill ,"Vice President, Technology","Barton has devoted his career to developing systems in the public, private, and scientific domains. Since interesting things always happen at crossroads, Barton likes to spend his time where technologies and people intersect; sometimes, where they collide."
2,Karim Teja ,CFO,"Prior to joining Cybera, Karim was CFO of one of the fastest growing tech companies in Canada, Imaging Dynamics Company Ltd. His favourite thing about working here is the culture of curiosity: “being a not-for-profit allows for long-term thinking and planning, objectivity, neutrality and being able to pursue ‘doing the right thing'.” If he's not at his desk, you will find him walking his dog."
3,Meagan Hampel ,"Vice President, External Relations","Meagan has a journalism degree from Carleton University, and previously worked as a science reporter, where she was required to write up to 20,000 words a month. She continues to write at Cybera, and enjoys creating blog posts or news updates that raise awareness of the great things Albertans are doing with new technology. If she's not at her desk, you will find her traveling the world, zumba-ing, or working on the office puzzle. Three things she could not live without are cereal, chocolate, and sarcasm."
4,Mulugeta Yirba ,Network Engineer,"Mulugeta holds a MEng in Internetworking from Dalhousie University in Nova Scotia, and was previously the implementation lead for a network project in the Maritimes that was part of a nation-wide network redesign. His everyday tasks at Cybera include fixing connectivity issues for existing members, onboarding new members, or working on side projects. He loves learning about and trying new IT solutions. If he's not at his desk, you will find him traveling with his family."
5,Samir Rana ,Senior Network Engineer,"Samir is a Cisco Certified Network Professional and a Juniper Networks Certified Internet Specialist, and spent five years working in the oil and gas industry before joining Cybera. His favourite thing about working here is helping small K-12 school districts and libraries with network technical support, particularly during urgent times when they don’t have the in-house expertise to immediately solve a problem. He likes to play and watch cricket, and would love to one day revisit the region in India where he was born."
6,Zafar Yousufi ,Network Engineer,"Prior to working at Cybera, Zafar was a network designer at Shaw, and a network analyst at AT&T Canada. He enjoys the daily challenges of working at Cybera and creating customized solutions for members. His greatest professional achievements have been delivering technical presentations at network meetups and university classes around the world. Outside of work, his hobbies include camping, hiking, and ice skating. The three things he could not live without are: family, friends, and tea."
7,Joe Topjian ,Operations Manager,"Joe is the co-author of the “OpenStack Operations Guide,” a foundational document for cloud developers. His favourite thing about working at Cybera is the opportunity it offers him to create innovative solutions that help others benefit from technology. In his spare time, he helps maintain several open source projects, including the Terraform OpenStack Provider, and Gophercloud, the OpenStack SDK for Go. His favourite saying: ""I told you so."""
8,Ben Leavitt ,Systems Administrator,"Ben prides himself on running a very quiet and orderly cloud. His favourite thing about working at Cybera is working on the DAIR project, which he sees as an exciting opportunity to advance Canadian entrepreneurs’ use of digital technology. The place he would most like to visit is Mars, to investigate for aliens. The three things he could not live without are WAN uplink, private keys, and open source."
9,Logan Thies ,Systems Administrator,"Logan worked his way up from help desk support at Foothills Hospital, to become a cybersecurity consultant for a variety of European and North American clients. In his role at Cybera, he supports projects such as the Virtual Firewall Service, which has allowed him to tap into his cybersecurity experience, while learning new cloud skills. If he's not at his desk, you will find him venturing outdoors, building malware (for good), or playing with kitties."
